affiliation,result
"Nazarbayev University, Astana, Kazakhstan","Kazakhstan, 010088 Astana, Kabanbay Batyr Avenue, 53, Nazarbayev University"
"53 Kabanbay batyr ave Astana, Kazakhstan","Kazakhstan, 010088 Astana, Kabanbay Batyr Avenue, 53, Nazarbayev University"
"Library Zaozhuang University, Zaozhuang, China","Zaozhuang, Shandong Sheng, China"
"Northwestern Polytechnical University, Xi’an, China","710072 China, Shaanxi, Beilin District, Zhangjiacun, West Youyi Road 127号, Northwestern Polytechnical University (Youyi Campus)"
"Ltd Shanxi, P. R. China",China
"University of Macau Macao, P. R. China","519000 China, Macau, Sé, 新口岸新填海區(皇朝區) Zona Nova de Aterros do Porto Exterior, 布魯塞爾街 Rua de Bruxelas, Nam Ngon Hostel of Macao Polytechnic University"
"State Grid Smart Grid Research Institute Co.Ltd Beijing, China","Beijing, Beijing Shi, China"
"School of Computer Science and Technology Shandong University of Finance and Economics, Ji'nan, China","School of Computer Science and Technology Shandong University of Finance and Economics, Ji'nan, China"
"ABESEC, Ghaziabad","Ghāziābād, India"
"Federal University Dutse, Nigeria","Dutse, Jigawa State, Nigeria"
"OP Jindal Global University Sonipat, Haryana, India","OP Jindal Global University, MDR138, Sonipat District, Sonipat - 131001, Haryana, India"
"NIMS University Jaipur, Rajasthan, India","National Institute of Medical Sciences University, NH248, Jaipur(Rural) District, Chandwaji - 303121, Rajasthan, India"
"Galgotias University Greater Noida, Uttar Pradesh, India","Galgotias University, Yamuna Expressway, Gautam Buddha Nagar District, Greater Noida - 203200, Uttar Pradesh, India"
"Graphic Era Deemed to Be University Dehradun, Uttrakhand, India",India
"Computational Social Science ETH Zurich, Switzerland","Eidgenössische Technische Hochschule Zürich, Zurich, Bezirk Zürich, Switzerland"
"M.E.C. Bikaner, Rajasthan, India","Bīkāner, India"
"Jaipur Rajasthan, India","Jaipur, Jaipur Tehsil, India"
"JILIN ENGINEERING NORMAL UNIVERSITY-CHINA Changchun City, Jilin Province, China",China
"JILIN UNIVERSITY-CHINA Changchun City, Jilin Province, China",China
"University of Macedonia, Thessaloniki, Greece","University of Macedonia, Εγνατία 156, Thessaloniki, Greece"
"School of Information Sciences University of Macedonia, Thessaloniki, Greece","Thessaloniki, Greece"
"Buddha Institute of Technology Gorakhpur, India","Gorakhpur, India"
"Madan Mohan Malaviya University of Technology Gorakhpure, UP, India",India
"College of Letters & Science University of Wisconsin-Madison, Madison, USA","Madison, Wisconsin, United States of America"
Wuhan Centre of China Geological Survey,Wuhan Centre of China Geological Survey
"Wuhan Centre of China Geological Survey, Wuhan, China","Wuhan, Hubei, China"
China University of Geosciences (Wuhan),"430074 China, Hubei, Hongshan District, 关山街道, Lumo Road 388号, China University of Geosciences (Wuhan)"
"Dept. of Computer Science & Engineering, Amity University Uttar Pradesh, India","Uttar Pradesh, India"
"Harbin Institute of Technology Shenzhen, China","518055 China, Guangdong Province, Nanshan District, Taoyuan Sub-district, Pingshan 1st Road 6, Harbin Institute of Technology, Shenzhen"
"Wuhan University Hubei, China","430079 China, Hubei, Hongshan District, 珞南街道, 桂元路, WHUT Wuhan University of Technology, East Campus, Teaching Building 4"
"State Grid Beijing Electric Power Company, Beijing, China","Beijing, Beijing Shi, China"
"Symbiosis International University Pune, India","Atur Centre, Gokhale Road, Model Colony, Pune - 411016, Maharashtra, India"
"Symbiosis Institute of Technology Symbiosis International (Deemed University) Pune, Maharashtra, India","Pune, Pune Division, India"
"Symbiosis Institute of Technology Symbiosis International (Deemed University), Pune, India","Pune, Pune Division, India"
"Cape Peninsula University of Technology Cape Town, South Africa","Cape Peninsula University of Technology (Sheriff's House Residence), 208-212 Voortrekker Road, Parow, Cape Town, 7501, South Africa"
"University of Tennessee Knoxville, TN","Knoxville, TN 37996, United States of America"
"University of Tennessee Knoxville, TN, USA","Knoxville, TN 37996, United States of America"
"The University of Tennessee Knoxville, TN, USA","Phillip Fulmer Way, Knoxville, TN, USA, Phillip Fulmer Way, Knoxville, TN 37916, United States of America"
"Oak Ridge National Lab, Oak Ridge, TN","Oak Ridge, Tennessee, United States of America"
"Dominion Virginia Power, Richmond, VA","Virginia Ave, Richmond, VA, United States of America"
"Ministry of Education Nanjing University of Aeronautics and Astronautics, Nanjing, China","Nanjing, Jiangsu Sheng, China"
"Dominion Energy Richmond, VA","Richmond, Virginia, United States of America"
"Soochow University Suzhou, China","215001 China, Jiangsu, Gusu District, 平江街道, Ganjiang East Road, Soochow University (Tiancizhuang Campus)"
"Chengdu Technological University Chengdu, China","611730 China, Sichuan, Pidu District, Deyuan Subdistrict, 清马路, Chengdu Technological University"
"Weifang Engineering Vocational College Qingzhou, China","Qingzhou, Shandong Sheng, China"
"University of Batna 2 Batna, Algeria","Batna, Wilaya de Batna, Algeria"
"LaSTIC, University of Batna 2, Algeria","Wilaya de Batna, Algeria"
"LaSTIC laboratory of Batna2 University, Algeria",Algeria
"University of Quintana Roo Chetumal, Mexico","Chetumal, Quintana Roo, Mexico"
"Saint Mary's University Halifax, Canada","Saint Mary's University, Atlantic Street, Halifax, NS B3H 1G9, Canada"
"Dalhousie University Halifax, Canada","Dalhousie University, DaCosta Row, Halifax, NS B3J 1Z1, Canada"
"National Institute of Development Administration Bangkok, Thailand","Bangkok, Thailand"
"Beijing Institute of Fashion Technology Beijing, China","100029 China, Beijing, Chaoyang District, Hepingjie, 樱花巷 甲2号, Beijing Institute Of Fashion Technology"
"Fuzhou Preschool Education College Fuzhou, Jiangxi, China","Fuzhou, Jiangxi Sheng, China"
"Law School Sichuan University, Chengdu, China","Chengdu, Sichuan Sheng, China"
"ESILV, De Vinci Research Center, France","Avenue Léonard de Vinci, 28100 Dreux, France"
"University of Paris 1 Panthéon Sorbonne Paris, France","Place du Panthéon, 75005 Paris, France"
"University of Paris 1 Pantheon-Sorbonne Paris, France","Place du Panthéon, 75005 Paris, France"
"Pôle Universitaire Léonard de Vinci Paris La Défense, France","Rue de la Cité Universitaire, 75014 Paris, France"
"Rajalakshmi Institute of Technology Chennai, India","Chennai, India"
"National Engineering College Kovilpatti Tuticorin (Dt), Tamilnadu, India","Thoothukudi, Thoothukkudi, India"
Oak Ridge National Laboratory,"Oak Ridge, Tennessee, United States of America"
"Oak Ridge National Laboratory (ORNL) Tennessee, USA","Laboratory Rd, Oak Ridge, TN, United States of America"
"Stony Brook University New York, USA","Stony Brook University, Brookhaven, NY 11794, United States of America"
"University of the Free State Free State, South Africa","University of the Free State, 205 Nelson Mandela Drive, Brandwag, Bloemfontein, 9301, South Africa"
"Trapeznikov Institute of Control Sciences of Russian Academy of Sciences Moscow, Russia","Moscow, Russia"
"State Grid Kashi Electric Power Supply Company, Kashi, China","Kashi, Xinjiang Uygur Zizhiqu, China"
"Modern Education Society's College of Engineering, Pune","Pune, Pune Division, India"
"Lakehead University Thunder Bay, Canada","Lakehead University, North Spirit Road, Thunder Bay, ON P7B 5E1, Canada"
"Pune Maharashtra, IN","Pune, Pune District, India"
"Workday Integration Architect Huntington, Columbus, OHIO","Integrity Dr N, Columbus, OH, United States of America"
"Bina Nusantara University BINUS Graduate Program - Master of Computer Science, Jakarta, Indonesia","Jakarta, DKI Jakarta, Indonesia"
"BINUS Graduate Program - Master of Computer Science Bina Nusantara University, Jakarta, Indonesia","Jakarta, DKI Jakarta, Indonesia"
"Luleå University of Technology Skellefteå, Sweden","Skellefteå, Skellefteå Kommun, Sweden"
"Urban Vocational College of Sichuan, Sichuan, China","Sichuan Sheng, China"
"Minjiang University Fujian, Fuzhou, China","350100 China, Fujian, Minhou County, 榕桥村登山道, Minjiang University"
"Faculty of Business Information, China",China
"Xichang Satellite Launch Centre xichang, sichuan","615600 China, Sichuan, Mianning County, Xichang Satellite Launch Center"
"Xichang Satellite Launch Center, Xichang, China","Xichang, Sichuan Sheng, China"
"Tianjin University Renai College Tianjin, China","Tianjin Shi, China"
"Department of Police Management Luzhou Sichuan,P.R. China",China
"Tianjin University TianJin, China","300084 China, Tianjin, Nankai District, Nankai, Xuefu, 湖波道, Tianjin University"
"Business School, Tianjin University of Commerce Tianjin, China","Tianjin Shi, China"
"School of Computing, SASTRA University, Thanjavur","Thanjāvūr, Thanjavur, India"
"National Institute of Technology Silchar, Assam, India","National Institute of technology - NIT Silchar, SH39, Cachar District, Masimpur - 788118, Assam, India"
"Lomonosov Moscow State University Moscow, Russia","1, Ramenki District, Moscow, Russia, 119991"
"Academy of Sciences Moscow, Russia","Moscow Botanical Garden of Academy of Sciences, Ostankinsky District, Moscow, Russia, 127566"
"High Voltage Cable Operation and Maintenance Center Chengdu Power Supply Company of Sichuan Electric Power Company, Chengdu, China","High Voltage Cable Operation and Maintenance Center Chengdu Power Supply Company of Sichuan Electric Power Company, Chengdu, China"
"V R Siddhartha Engineering College Vijayawada, AP, India","Telangana, India"
"Velagapudi Ramakrishna Siddhartha Engineering College Vijayawada, India","Velagapudi Ramakrishna Siddhartha Engineering College, Panta Kaluva Road, Kanuru, Vijayawada - 521137, Andhra Pradesh, India"
"University of Trento Trento, Italy","Former Central Library, University of Trento, Via Giuseppe Verdi, 38122 Trento TN, Italy"
"Department of Industrial Engineering, University of Trento, Italy","Trento, Italy"
"College of Education for Pure Sciences University of Basrah, Basrah, Iraq","Basra, Muḩāfaz̧at al Başrah, Iraq"
"Zayed University, Dubai, UAE","Zayed University - Dubai Campus, Courtyard A-B, Academic City, Dubai, United Arab Emirates"
"Khalifa City B Abu Dhabi, U.A.E","Khalifa City, Abu Dhabi, United Arab Emirates"
"Hangzhou Dianzi University Hangzhou, China","310018 China, Zhejiang, 闻潮社区, No.6 Street, Hangzhou Dianzi University (Xiasha East Campus)"
"School of Computing and Information Systems University of Melbourne, Parkville, VIC, Australia","Parkville, Victoria, Australia"
"Jiangxi University of Applied Science, Nanchang, China","Nanchang, Jiangxi Sheng, China"
"University of Piraeus, Piraeus, Greece","University of Piraeus, Καραολή και Δημητρίου 80, Piraeus, Greece"
"Ubitech, Athens, Greece","Athens, Nomarchía Athínas, Greece"
"LeanXcale, Madrid, Spain","Madrid, Spain"
"Universitat Oberta de Catalunya, Spain","Universitat Oberta de Catalunya, Carrer de l'Escorxador, 43202 Reus, Spain"
"AEGIS IT Research (AEGIS), Braunschweig, Germany","Braunschweig, Lower Saxony, Germany"
"LeanXscale, Madrid, Spain","Madrid, Spain"
"Harokopio University Athens, Greece","Harokopio University, Σαπφούς 70, Municipality of Kallithea, Greece"
"University of Glasgow Glasgow, UK","University of Glasgow, Great Kelvin Lane, North Kelvinside, Glasgow, G12 8JG, United Kingdom"
"The University of Glasgow, Scotland, UK","University of Glasgow Library, Hillhead Street, Glasgow, G12 8QE, United Kingdom"
"IBM Research, Haifa, Israel","Haifa, Israel"
"Fundació i2CAT, Barcelona, Spain","Barcelona, Catalonia, Spain"
"Universidad Politecnica de Madrid, Madrid, Spain","Aparcamiento del Rectorado de la Universidad Politécnica de Madrid, Camino de Las Moreras, 28040 Madrid, Spain"
"Athens University of Economics and Business Athens, Greece","Athens University of Economics and Business, Patision 76, Athens, Greece"
"Atos Research and Innovation, Madrid, Spain","Madrid, Spain"
"Athens Technology Center, Athens, Greece","Athens, Nomarchía Athínas, Greece"
"IBM Research, Israel",Israel
"Georgia State University Atlanta, USA","Georgia State University, 33 Gilmer Street Southeast, Atlanta, GA 30303, United States of America"
"Temple University, Philadelphia, U.S.A.","E University St, Magnolia, AR, United States of America"
"Yeshwantrao Chavan College of Engineering Nagpur, India","Yeshwantrao Chavan College of Engineering, NH353I, Nagpur District, Hingna - 441110, Maharashtra, India"
"University of Ljubljana Ljubljana, Slovenia","University of Ljubljana, Kardeljeva ploščad, 1113 Ljubljana, Slovenia"
"Mathematical Institute of Serbian Academy of Sciences and Arts, Belgrade, Serbia","Belgrade, Central Serbia, Serbia"
"Maxeler London, UK","London, United Kingdom"
"Universitat Politècnica de Catalunya (UPC), Barcelona, Spain","Barcelona, Catalonia, Spain"
"Barcelona Supercomputing Center (BSC), Barcelona, Spain","Barcelona, Catalonia, Spain"
"Bloomington IN, USA","Bloomington, Indiana, United States of America"
"Henan Finance University, Zhengzhou, China","China, Henan, Zhongmu County, Jinxiu Road, Henan Finance University"
"Yunnan Power Grid Co. Ltd, Kunming, China","Kunming, Yunnan, China"
"Big Data Center Of State Grid Corporation of China, Beijing, China","Beijing, Beijing Shi, China"
"University of of Science and Technology Beijing (USTB) Beijing, China","Beijing, Beijing Shi, China"
"Beijing Key Laboratory of Knowledge Engineering for Material Science, Beijing, China","Beijing, Beijing Shi, China"
"College of Computer Science and Mathematics University of Mosul, Mosul, Iraq","Mosul, Muḩāfaz̧at Nīnawá, Iraq"
